"Kategorie","Aufgaben","Aufwand total","Personalaufwand","Sachaufwand","Laufende Beiträge","Verrechnungen","Übriger Aufwand","Nettobelastung -Nettoertrag","Ausgaben total","Sachgüter","Darlehen Beteiligungen","Investitionsbeiträge ","Nettobelastung -Nettoertrag","Konsolidierte Gesamtausgaben"
KULTUR UND FREIZEIT,"Massenmedien, Antennen- und Kabelanlagen",,,,,,,,,,,,,
KULTUR UND FREIZEIT,"Parkanlagen, Wanderwege",40821.00,17751.00,8750.00,222.00,7138.00,6960.00,27160.00,10080.00,10080.00,,,10080.00,36803.00
KULTUR UND FREIZEIT,Sport,133201.00,34688.00,22310.00,3539.00,66010.00,6655.00,103724.00,37860.00,36210.00,1150.00,500.00,34512.00,98396.00
KULTUR UND FREIZEIT,Übrige Freizeitgestaltung,11153.00,2154.00,1745.00,3645.00,2105.00,1503.00,5630.00,4350.00,2600.00,,1750.00,3623.00,11895.00
KULTUR UND FREIZEIT,Kirche,,,,,,,,,,,,,
GESUNDHEIT,Spitäler,542317.00,342089.00,132339.00,1620.00,34712.00,31557.00,20637.00,59844.00,59844.00,,,59844.00,540918.00
GESUNDHEIT,Kranken- und Pflegeheime,318317.00,171498.00,35567.00,87153.00,23548.00,552.00,91963.00,14870.00,14710.00,,160.00,14870.00,309087.00
GESUNDHEIT,Ambulante Krankenpflege,46394.00,1227.00,335.00,44638.00,195.00,,46213.00,,,,,,46199.00
GESUNDHEIT,Krankheitsbekämpfung,4848.00,1470.00,314.00,2859.00,205.00,,4348.00,,,,,,4643.00
GESUNDHEIT,Schulgesundheitsdienst,16101.00,11520.00,2303.00,68.00,2183.00,26.00,12192.00,,,,,,13891.00
GESUNDHEIT,Lebensmittelkontrolle,2110.00,1727.00,167.00,,211.00,5.00,1320.00,,,,,,1894.00
GESUNDHEIT,Gesundheitswesen Übriges,85609.00,53122.00,14042.00,1875.00,11234.00,5336.00,44938.00,1689.00,1689.00,,,1339.00,70728.00
SOZIALE WOHLFAHRT,Sozialversicherung Allgemeines,283.00,,,283.00,,,283.00,,,,,,283.00
SOZIALE WOHLFAHRT,Krankenversicherung,133701.00,2757.00,283.00,129828.00,834.00,,3483.00,,,,,,132868.00
SOZIALE WOHLFAHRT,Zusatzleistungen zur AHV/IV,423915.00,12442.00,478.00,407497.00,2698.00,800.00,252681.00,,,,,,420417.00
SOZIALE WOHLFAHRT,Jugendschutz,85442.00,21968.00,1783.00,58638.00,3047.00,7.00,75503.00,7700.00,2700.00,5000.00,,7700.00,90088.00
SOZIALE WOHLFAHRT,Invalidität,258.00,,,258.00,,,-372.00,2400.00,400.00,2000.00,,2400.00,2658.00
SOZIALE WOHLFAHRT,Sozialer Wohnungsbau,856.00,830.00,21.00,0.00,5.00,,446.00,12060.00,,3600.00,8460.00,10815.00,12911.00
SOZIALE WOHLFAHRT,Altersheime,159660.00,103142.00,27079.00,1239.00,28118.00,83.00,-643.00,2780.00,2780.00,,,2780.00,134240.00
SOZIALE WOHLFAHRT,Fürsorge,557124.00,139476.00,35177.00,348366.00,33304.00,803.00,350571.00,11190.00,11130.00,60.00,,11190.00,534208.00
SOZIALE WOHLFAHRT,Hilfsaktionen,3296.00,,,3296.00,,,3296.00,,,,,,3296.00
VERKEHR,Staatsstrassen,54437.00,,,,54437.00,,0.00,32256.00,700.00,,31556.00,-1440.00,32256.00
VERKEHR,Gemeindestrassen,265915.00,82074.00,86985.00,130.00,51668.00,45058.00,134281.00,97599.00,97049.00,,550.00,65393.00,266788.00
VERKEHR,Privatstrassen,,,,,,,,,,,,,
VERKEHR,Bundesbahnen,,,,,,,,,,,,,
VERKEHR,Regionalverkehr,639090.00,281685.00,144528.00,114411.00,41775.00,56691.00,45984.00,141248.00,141248.00,,,138991.00,681872.00
VERKEHR,Schiffahrt,270.00,,270.00,,,,270.00,1400.00,1400.00,,,1400.00,1670.00
VERKEHR,Luftfahrt,,,,,,,,,,,,,
UMWELT UND RAUMORDNUNG,Wasserversorgung,128903.00,34318.00,31845.00,22125.00,11257.00,29359.00,22992.00,46120.00,46120.00,,,39020.00,134407.00
UMWELT UND RAUMORDNUNG,"Abwasserbeseitigung, Kläranlagen",152443.00,27319.00,94263.00,5466.00,6030.00,19366.00,-3030.00,19414.00,19414.00,,,19414.00,146461.00
UMWELT UND RAUMORDNUNG,"Abfallbeseitigung, Kehrichtverbrennnungsanlagen",143527.00,42916.00,46262.00,350.00,10420.00,43579.00,0.00,32752.00,31940.00,812.00,,32752.00,122280.00
UMWELT UND RAUMORDNUNG,Schlachthöfe,3774.00,,3409.00,,1.00,363.00,91.00,,,,,,3409.00
UMWELT UND RAUMORDNUNG,Friedhof und Bestattung,37661.00,13519.00,6112.00,57.00,14254.00,3719.00,17665.00,1660.00,1660.00,,,1660.00,21498.00
UMWELT UND RAUMORDNUNG,Gewässerunterhalt und -verbauung,50.00,,50.00,,,,50.00,,,,,,50.00
UMWELT UND RAUMORDNUNG,Naturschutz,7838.00,2566.00,933.00,3552.00,386.00,402.00,7481.00,,,,,,7050.00
UMWELT UND RAUMORDNUNG,Übriger Umweltschutz,17494.00,12021.00,2919.00,28.00,2520.00,5.00,12287.00,5579.00,5579.00,,,4619.00,20548.00
UMWELT UND RAUMORDNUNG,Raumordnung,39424.00,,275.00,24148.00,1.00,15000.00,723.00,15000.00,,,15000.00,14955.00,39423.00
VOLKSWIRTSCHAFT,Landwirtschaft,1510.00,1417.00,34.00,,59.00,0.00,-53.00,,,,,,1451.00
VOLKSWIRTSCHAFT,Forstwirtschaft,5004.00,2386.00,2158.00,5.00,68.00,388.00,2305.00,2500.00,2500.00,,,2500.00,7049.00
VOLKSWIRTSCHAFT,Jagd und Fischerei,,,,,,,,,,,,,
VOLKSWIRTSCHAFT,"Tourismus, kommunale Werbung",7995.00,1534.00,1904.00,3868.00,689.00,,7188.00,,,,,,7306.00
VOLKSWIRTSCHAFT,"Beiträge Industrie, Gewerbe, Handel",732.00,681.00,,52.00,,,-28273.00,20000.00,,20000.00,,20000.00,20732.00
VOLKSWIRTSCHAFT,Energieversorgung,846556.00,147046.00,527861.00,52730.00,41903.00,77016.00,-23682.00,200140.00,147090.00,41300.00,11750.00,198040.00,927777.00
VOLKSWIRTSCHAFT,Sonstige Gemeindebetriebe,,,,,,,,,,,,,
FINANZEN UND STEUERN,Gemeindesteuern,35500.00,,,8000.00,,27500.00,-2589534.00,,,,,,22000.00
FINANZEN UND STEUERN,Finanzausgleich,313575.00,,,269470.00,44105.00,,-98625.00,,,,,,269470.00
FINANZEN UND STEUERN,Einnahmeanteile,,,,,,,,,,,,,
FINANZEN UND STEUERN,Vermögens- und Schuldenverwaltung,473705.00,18046.00,78951.00,30340.00,141342.00,205026.00,76378.00,,,,,,304756.00
FINANZEN UND STEUERN,"Abschreibungen, Neutrale Aufwendungen und Erträge, Abschluss",51655.00,,,,,51655.00,2310.00,,,,,,0.00
